leg_black,treat_out,responded,totalpop,medianhhincom,black_medianhh,white_medianhh,blackpercent,statessquireindex,nonblacknonwhite,urbanpercent,leg_senator,leg_democrat,south
0,0,0,1.5873,5.0625,2.6814,2.6586,0.007119007,0.227,0,0.6956015,0,0,0
0,0,1,1.6218,4.9713,2.7126,2.6619,0.005796029,0.227,0,0.61807317,0,0,0
0,0,1,1.671,6.9646,2.3087,2.9973,0.012028725,0.227,0,0.82433146,0,0,0
0,0,1,1.6122,4.1811,2.4668,2.4887,0.004279866,0.227,1,0,0,0,0
0,1,1,1.5622,3.1152,2.149,2.0597,0.008257585,0.227,1,0,0,1,0
0,1,0,1.6236,6.0678,1.9856,2.7017,0.011825573,0.227,0,0.35832295,0,0,0
0,1,1,1.6426,5.503,2.409,2.7584,0.027030317,0.227,0,0.38221532,0,1,0
0,0,0,1.6872,4.2315,1.7252,2.406,0.097735904,0.227,1,0.9977062,0,1,0
0,0,1,3.2091,5.0087,2.6918,2.6602,0.006450408,0.227,0,0.6573261,1,0,0
0,1,0,3.1744,3.6754,2.202,2.3071,0.006237399,0.227,1,0,1,1,0
0,0,1,3.2662,5.8125,2.2989,2.7298,0.019472169,0.227,0,0.3708324,1,1,0
0,1,0,3.3567,4.0456,1.5235,2.2835,0.11290851,0.227,0,0.9544357,1,1,0
0,1,0,3.407,5.5846,3.2087,2.3325,0.011447021,0.227,0,0.62120163,1,0,0
0,0,1,3.3792,4.9515,1.761,2.2931,0.008463542,0.227,0,0.12244777,1,0,0
0,1,0,3.293,5.41,1.4079,2.2818,0.08050409,0.227,0,0.98836166,1,0,0
0,0,1,3.466,4.2901,1.6628,2.3829,0.12412002,0.227,0,1,1,1,0
0,1,0,3.3844,4.8244,2.0547,3.1062,0.037141,0.227,0,1,1,1,0
0,1,0,3.2244,8.4555,2.3908,3.6114,0.014049125,0.227,0,0.69135386,1,0,0
0,1,1,3.4233,4.7626,1.4066,2.209,0.00572547,0.227,0,0.2106583,1,0,0
0,0,1,3.2932,4.8314,1.2305,2.4215,0.009413337,0.227,0,0.25991404,1,0,0
0,0,1,3.1357,4.3254,2.2469,3.2214,0.011512581,0.227,1,0.19185947,1,1,0
0,0,1,3.1519,4.4779,3.7186,3.8874,0.006059838,0.227,1,0.34750497,1,1,0
0,1,1,1.6695,3.8003,1.3633,2.159,0.12824199,0.227,0,0.9029673,0,0,0
0,1,1,1.6683,5.7851,1.7406,2.2496,0.03344722,0.227,0,0.6230769,0,0,0
0,0,0,1.6968,4.3898,1.2146,1.9398,0.040900517,0.227,0,0.2055421,0,0,0
0,0,1,1.7041,5.6871,1.9843,2.351,0.013203451,0.227,0,0.46939132,0,0,0
0,0,1,1.7029,5.4751,4.7034,2.3141,0.009689353,0.227,0,0.77082616,0,0,0
0,1,0,1.6929,4.0152,0.7654,2.03,0.006556796,0.227,0,0.008059346,0,0,0
0,0,0,1.6863,6.1111,2.3621,2.5495,0.010377751,0.227,0,0.33310845,0,0,0
0,1,1,1.6442,6.9792,2.2971,2.7703,0.025848437,0.227,0,0.9925816,0,0,0
0,1,0,1.7078,4.9759,2.1959,2.5696,0.109439045,0.227,0,1,0,1,0
0,1,1,1.7065,4.0061,2.0331,2.6596,0.042133022,0.227,0,1,0,1,0
0,1,1,1.5833,8.4502,2.2822,3.7382,0.012568686,0.227,0,0.4271176,0,0,0
0,1,0,1.7266,4.8717,0.9823,2.285,0.006660489,0.227,0,0.45995894,0,0,0
0,0,1,1.6967,4.6615,2.0187,2.1365,0.004773973,0.227,0,0,0,0,0
0,0,1,1.7172,4.5087,0.6861,2.2073,0.009375728,0.227,0,0,0,0,0
0,0,1,1.576,5.3071,1.6831,2.7795,0.009454315,0.227,0,0.62839425,0,0,0
0,0,1,1.5862,5.0327,2.6942,3.1168,0.016139202,0.227,1,0.08647955,0,1,0
0,1,0,1.5495,3.6341,1.6305,3.4895,0.006776379,0.227,0,0.35089225,0,1,0
0,0,1,1.5952,5.3477,3.8823,4.1449,0.007710632,0.227,1,0.47610015,0,1,0
0,1,0,4.4706,3.0609,1.1799,2.1431,0.17456268,0.071,0,0.90790033,0,1,1
0,1,0,13.1076,3.2937,1.2281,1.9522,0.13093168,0.071,0,0.56668013,1,1,1
0,1,0,4.3987,3.6223,1.3431,1.7931,0.022529386,0.071,0,0.058811273,0,1,1
0,1,0,13.5065,4.3697,1.571,2.214,0.17144337,0.071,0,0.53246087,1,1,1
0,0,1,4.2383,3.2227,1.259,1.9496,0.19741406,0.071,0,0.69801927,0,1,1
0,1,0,4.3425,4.2603,1.4539,2.2316,0.091928616,0.071,0,0.28248778,0,0,1
0,0,1,12.2938,3.1602,1.4689,1.7015,0.044030324,0.071,0,0.18380447,1,1,1
0,1,0,4.1796,3.6065,1.2707,1.9067,0.10412481,0.071,0,0.4555606,0,1,1
0,0,0,4.2506,4.0421,1.6493,2.1343,0.26822096,0.071,0,0.5148428,0,0,1
0,1,1,12.1893,2.8126,1.0719,1.55,0.06370341,0.071,0,0.14131321,1,1,1
0,0,0,4.2636,3.0707,1.5101,1.6812,0.110563844,0.071,0,0.064136624,0,1,1
0,1,0,4.2038,3.2728,1.1469,2.1423,0.24080592,0.071,0,0.9733618,0,1,1
0,0,0,4.2233,3.6871,1.2148,1.7938,0.028011272,0.071,0,0.27163973,0,1,1
0,0,0,4.3911,4.8063,1.6936,2.811,0.13085559,0.071,0,0.9528329,0,0,1
0,1,0,4.347,3.4408,0.6159,1.7695,0.00147228,0.071,0,0.15640998,0,0,1
0,1,0,4.4528,3.1102,1.2582,1.6422,0.016843336,0.071,0,0.27610165,0,1,1
0,0,0,4.1403,3.0427,0.9883,1.7313,0.07197546,0.071,0,0.39996788,0,1,1
0,0,0,4.1924,3.0262,1.0649,1.5616,0.039476193,0.071,0,0.000204353,0,1,1
0,1,0,13.3953,4.4004,1.2279,2.0942,0.086724445,0.071,0,0.41270602,1,0,1
0,0,0,4.4664,4.7018,1.0828,2.0802,0.06112305,0.071,0,0.35717633,0,0,1
0,1,0,12.863,5.3153,1.5268,3.0392,0.08288891,0.071,0,0.63332075,1,0,1
0,1,0,4.1356,3.0824,1.0669,1.5991,0.11289777,0.071,0,0.14006533,0,1,1
0,1,1,13.344,6.0316,2.5216,3.5304,0.05003747,0.071,0,0.9928639,1,0,1
0,1,0,4.3892,2.7547,0.9041,1.554,0.028934658,0.071,0,0.10286111,0,1,1
1,0,0,4.3327,3.2206,1.3697,2.0522,0.6416784,0.071,0,0.9755754,0,1,1
0,0,0,4.2898,6.8855,3.121,3.7233,0.021935755,0.071,0,0.95534533,0,0,1
1,1,0,12.2916,3.1173,1.3995,1.9902,0.6488659,0.071,0,0.99382967,1,1,1
0,0,1,4.3601,3.1263,1.1548,2.2547,0.27020022,0.071,0,0.90615916,0,1,1
0,1,0,12.2606,3.2745,1.2078,1.8876,0.24876434,0.071,0,0.4923062,1,1,1
0,0,0,4.3383,3.7469,1.4273,1.7594,0.04623931,0.071,0,0.068127215,0,1,1
0,1,0,4.4492,3.1498,1.2018,1.6858,0.042974018,0.071,0,0.299767,0,1,1
0,0,0,4.5005,3.0949,1.538,1.6981,0.0161982,0.071,0,0.16383602,0,0,1
1,1,0,12.184,2.4549,1.0884,2.1717,0.6159471,0.071,0,0.46538585,1,1,1
0,1,0,4.3226,6.352,1.8013,2.6138,0.14970157,0.071,0,0.7962815,0,0,1
0,0,0,13.3447,4.7176,1.5871,2.6425,0.16460468,0.071,0,0.7772217,1,0,1
0,1,0,4.4708,3.0748,0.6856,1.6425,0.011988905,0.071,0,0.50942594,0,1,1
1,0,1,13.062,2.7894,1.1063,2.2423,0.70515233,0.071,0,0.8257583,1,1,1
0,0,1,13.0842,2.9051,1.1533,1.8114,0.22731231,0.071,0,0.6071944,1,1,1
0,1,0,4.2275,2.9031,1.2224,1.7327,0.16598463,0.071,0,0.7002877,0,1,1
1,1,0,12.8031,2.4144,1.0407,1.8589,0.5563106,0.071,0,0.3784084,1,1,1
0,1,0,4.2542,2.7467,0.8762,1.6137,0.18504067,0.071,0,0.55362165,0,1,1
0,1,0,12.3858,3.4694,1.0707,1.9673,0.13978104,0.071,0,0.44844583,1,0,1
0,0,1,4.142,3.8332,1.3301,1.8641,0.03969097,0.071,0,0.30090111,0,0,1
